address,symbol,ath_source,stored_ath_mcap,fee_peak_mcap,undershoot,n_ticks,alert_time
F7ySj1p4f83fLXzdN8Dgf9UySr4MrkPVgZ1usFMzpump,NYAN,unseeded,115000.00,11123.66,-9.3383,13,1777762141.568079
uoYL47TPSTgWTUsV6WDUwHEM6AsYnntNVC64Gmgpump,Nutcoin,unseeded,81770.00,3690.69,-21.1557,1,1777762363.2182622
FfYZkaULHesDus1JQQH7B9KH1b8wcd7CHnQFaKcfpump,MOG,birdeye_reseeded,48937.55,2058.84,-22.7695,1,1777762799.0769525
7wwYLU49Wqz9HBAbpCxKkzTFTSuyL9EHYLETSA9Bpump,Basedlon,birdeye_reseeded,59884.77,6618.60,-8.0479,3,1777763052.1393597
4E7AdzfnCBg2WA4diuEzr9QL9zapsf7XLnvK25Uppump,Mogcoin,unseeded,86320.00,4591.27,-17.8009,2,1777765545.104914
6syG7iYmxk3fLsuK9pb5Fg8FZM13UsC4Q9Z9J2L3pump,MOG,birdeye_reseeded,58079.87,2242.42,-24.9005,2,1777766044.5637233
J8EDpArEb9D99dQbow2TEcpQ2hUoLLMLPi9k3DRZpump,buttcrack,birdeye_running_max,66560.00,4008.06,-15.6066,16,1777768461.6318364
4hdemPPmpY2eC5b84eDjF8CrpxWxf4ViShRz2HVvpump,Breastcoin,birdeye_corrected,74762.26,3862.89,-18.3540,3,1777769177.2582676
5zA1r2LyA9UcShFoZ4DNVJXq1V5pSD4gmibDh5Zxpump,memeoids,birdeye_running_max,282300.00,33831.30,-7.3443,80,1777774316.6342232
B1oY6Br2BaE6RjSb78zViF1QUm2Nc9y1fo86b58Wpump,PETDEX,birdeye_reseeded,194995.39,27689.39,-6.0422,45,1777774415.2666707
AQN6fZCUsvxuv7F9rJcfobaxwmzi7EmamzJLojGspump,MINIME,birdeye_running_max,62920.00,7146.64,-7.8041,5,1777776251.894287
6eSZsQRD4nFdg32WdPKq5z2N3kd84X7SyMqttvqBpump,1SHOT,birdeye_corrected,130690.30,1639.48,-78.7143,1,1777776721.6394675
91kDvTYSe6QwxsGpBqnjWWek6bpTc7ktV692yHLipump,nugget,birdeye_reseeded,48292.05,2380.55,-19.2861,2,1777779617.1780717
CvmRz15WYyhLRskuUFfRe6EybPjQdUqFA8URVcmSpump,Referral ,birdeye_running_max,163400.00,77381.68,-1.1116,70,1777780125.1314662
